#      x          Cp  
     1.00000    0.30173
     0.99175    0.26207
     0.98107    0.22511
     0.96913    0.17112
     0.95618    0.11626
     0.94234    0.08550
     0.92746    0.07307
     0.91168    0.06201
     0.89538    0.04659
     0.87875    0.02873
     0.86195    0.01096
     0.84508   -0.00554
     0.82819   -0.02068
     0.81129   -0.03478
     0.79437   -0.04823
     0.77743   -0.06135
     0.76050   -0.07436
     0.74357   -0.08738
     0.72666   -0.10042
     0.70977   -0.11344
     0.69291   -0.12629
     0.67607   -0.13884
     0.65926   -0.15092
     0.64245   -0.16240
     0.62565   -0.17320
     0.60884   -0.18331
     0.59202   -0.19276
     0.57517   -0.20165
     0.55829   -0.21010
     0.54139   -0.21819
     0.52447   -0.22597
     0.50754   -0.23381
     0.49063   -0.24500
     0.47376   -0.27798
     0.45696   -0.36722
     0.44024   -0.37860
     0.42365   -0.39141
     0.40720   -0.40550
     0.39090   -0.42135
     0.37476   -0.43918
     0.35877   -0.45842
     0.34293   -0.47781
     0.32722   -0.49588
     0.31161   -0.51134
     0.29607   -0.52326
     0.28057   -0.53108
     0.26508   -0.53463
     0.24955   -0.53416
     0.23396   -0.53037
     0.21828   -0.52441
     0.20251   -0.51787
     0.18667   -0.51272
     0.17079   -0.51116
     0.15497   -0.51527
     0.13937   -0.52663
     0.12418   -0.54586
     0.10965   -0.57246
     0.09600   -0.60479
     0.08345   -0.64039
     0.07215   -0.67629
     0.06214   -0.70959
     0.05337   -0.73793
     0.04575   -0.75979
     0.03915   -0.77436
     0.03342   -0.78122
     0.02843   -0.78006
     0.02407   -0.77045
     0.02024   -0.75168
     0.01687   -0.72262
     0.01390   -0.68162
     0.01127   -0.62646
     0.00896   -0.55426
     0.00694   -0.46167
     0.00519   -0.34513
     0.00369   -0.20192
     0.00245   -0.03158
     0.00147    0.16128
     0.00075    0.36586
     0.00027    0.56376
     0.00003    0.73614
     0.00002    0.86728
     0.00022    0.95592
     0.00065    0.99684
     0.00132    0.99158
     0.00223    0.94736
     0.00340    0.87527
     0.00481    0.78585
     0.00649    0.68904
     0.00843    0.59090
     0.01067    0.49636
     0.01321    0.40750
     0.01610    0.32569
     0.01939    0.25119
     0.02312    0.18389
     0.02738    0.12338
     0.03227    0.06919
     0.03788    0.02086
     0.04435   -0.02203
     0.05181   -0.05979
     0.06039   -0.09265
     0.07016   -0.12083
     0.08112   -0.14464
     0.09318   -0.16456
     0.10618   -0.18128
     0.11995   -0.19555
     0.13428   -0.20803
     0.14903   -0.21916
     0.16407   -0.22914
     0.17932   -0.23792
     0.19471   -0.24528
     0.21021   -0.25093
     0.22578   -0.25461
     0.24144   -0.25610
     0.25717   -0.25533
     0.27299   -0.25236
     0.28890   -0.24738
     0.30491   -0.24072
     0.32103   -0.23276
     0.33727   -0.22393
     0.35362   -0.21466
     0.37007   -0.20533
     0.38662   -0.19625
     0.40325   -0.18765
     0.41994   -0.17965
     0.43668   -0.17233
     0.45345   -0.16566
     0.47024   -0.15955
     0.48703   -0.15388
     0.50382   -0.14851
     0.52062   -0.14328
     0.53741   -0.13810
     0.55420   -0.13288
     0.57101   -0.12761
     0.58781   -0.12229
     0.60463   -0.11699
     0.62145   -0.11174
     0.63827   -0.10659
     0.65508   -0.10156
     0.67187   -0.09659
     0.68863   -0.09159
     0.70535   -0.08641
     0.72202   -0.08086
     0.73866   -0.07480
     0.75528   -0.06817
     0.77188   -0.06104
     0.78850   -0.05371
     0.80515   -0.04658
     0.82187   -0.03998
     0.83867   -0.03407
     0.85552   -0.02883
     0.87239   -0.01649
     0.88919    0.03668
     0.90584    0.06907
     0.92225    0.08184
     0.93820    0.08655
     0.95335    0.09523
     0.96749    0.12101
     0.98037    0.16337
     0.99164    0.20906
     1.00000    0.30173
