#      x          Cp  
     1.00000    0.28132
     0.99175    0.23428
     0.98056    0.19757
     0.96753    0.16079
     0.95298    0.12659
     0.93746    0.09649
     0.92139    0.07101
     0.90500    0.04964
     0.88843    0.03149
     0.87172    0.01569
     0.85492    0.00146
     0.83805   -0.01187
     0.82115   -0.02485
     0.80426   -0.03796
     0.78739   -0.05159
     0.77052   -0.06606
     0.75365   -0.08158
     0.73677   -0.09825
     0.71989   -0.11607
     0.70303   -0.13488
     0.68623   -0.15444
     0.66950   -0.17445
     0.65285   -0.19461
     0.63628   -0.21460
     0.61978   -0.23417
     0.60334   -0.25307
     0.58695   -0.27114
     0.57060   -0.28824
     0.55428   -0.30431
     0.53798   -0.31941
     0.52172   -0.33416
     0.50548   -0.35132
     0.48928   -0.37943
     0.47313   -0.42473
     0.45703   -0.45201
     0.44100   -0.46122
     0.42505   -0.47330
     0.40919   -0.48645
     0.39342   -0.49964
     0.37774   -0.51197
     0.36214   -0.52259
     0.34662   -0.53071
     0.33115   -0.53561
     0.31571   -0.53672
     0.30026   -0.53366
     0.28479   -0.52632
     0.26924   -0.51489
     0.25358   -0.49993
     0.23776   -0.48243
     0.22176   -0.46384
     0.20556   -0.44616
     0.18916   -0.43194
     0.17262   -0.42425
     0.15605   -0.42634
     0.13963   -0.44069
     0.12363   -0.46756
     0.10838   -0.50486
     0.09418   -0.54998
     0.08130   -0.60087
     0.06987   -0.65509
     0.05990   -0.70945
     0.05128   -0.76073
     0.04385   -0.80645
     0.03746   -0.84493
     0.03192   -0.87506
     0.02711   -0.89591
     0.02291   -0.90644
     0.01922   -0.90530
     0.01596   -0.89065
     0.01309   -0.86006
     0.01055   -0.81039
     0.00833   -0.73786
     0.00638   -0.63822
     0.00470   -0.50755
     0.00329   -0.34354
     0.00213   -0.14756
     0.00122    0.07249
     0.00058    0.30187
     0.00018    0.51942
     0.00001    0.70553
     0.00005    0.84805
     0.00032    0.94709
     0.00084    0.99494
     0.00160    0.99354
     0.00262    0.95207
     0.00389    0.88381
     0.00543    0.80033
     0.00724    0.71158
     0.00932    0.62288
     0.01171    0.53829
     0.01444    0.45906
     0.01753    0.38597
     0.02107    0.31882
     0.02512    0.25722
     0.02977    0.20058
     0.03516    0.14827
     0.04140    0.09970
     0.04867    0.05435
     0.05708    0.01185
     0.06672   -0.02806
     0.07759   -0.06552
     0.08956   -0.10066
     0.10244   -0.13362
     0.11599   -0.16458
     0.13003   -0.19362
     0.14438   -0.22072
     0.15893   -0.24568
     0.17361   -0.26812
     0.18837   -0.28758
     0.20317   -0.30356
     0.21803   -0.31563
     0.23293   -0.32346
     0.24789   -0.32687
     0.26292   -0.32589
     0.27805   -0.32073
     0.29329   -0.31180
     0.30867   -0.29967
     0.32419   -0.28503
     0.33987   -0.26865
     0.35572   -0.25132
     0.37174   -0.23378
     0.38792   -0.21665
     0.40424   -0.20036
     0.42070   -0.18515
     0.43727   -0.17108
     0.45393   -0.15809
     0.47066   -0.14607
     0.48744   -0.13494
     0.50426   -0.12467
     0.52111   -0.11536
     0.53798   -0.10749
     0.55487   -0.10205
     0.57178   -0.05971
     0.58872   -0.03498
     0.60567   -0.02510
     0.62261   -0.01905
     0.63953   -0.01340
     0.65640   -0.00775
     0.67324   -0.00237
     0.69005    0.00239
     0.70685    0.00630
     0.72366    0.00922
     0.74049    0.01114
     0.75736    0.01218
     0.77426    0.01257
     0.79117    0.01270
     0.80801    0.01303
     0.82477    0.01405
     0.84143    0.01628
     0.85800    0.02017
     0.87447    0.02608
     0.89085    0.03434
     0.90710    0.04521
     0.92315    0.05907
     0.93885    0.07651
     0.95394    0.09864
     0.96805    0.12702
     0.98076    0.16417
     0.99181    0.20987
     1.00000    0.28132
