#      x          Cp  
     1.00000    0.29782
     0.99186    0.25529
     0.98102    0.21773
     0.96860    0.17150
     0.95490    0.12690
     0.94023    0.09623
     0.92470    0.07534
     0.90852    0.05644
     0.89200    0.03744
     0.87535    0.01909
     0.85865    0.00204
     0.84193   -0.01370
     0.82518   -0.02844
     0.80842   -0.04256
     0.79165   -0.05641
     0.77487   -0.07024
     0.75811   -0.08423
     0.74136   -0.09841
     0.72465   -0.11274
     0.70798   -0.12709
     0.69136   -0.14125
     0.67477   -0.15501
     0.65823   -0.16811
     0.64171   -0.18033
     0.62521   -0.19150
     0.60872   -0.20150
     0.59222   -0.21028
     0.57569   -0.21783
     0.55914   -0.22421
     0.54255   -0.22960
     0.52592   -0.23474
     0.50927   -0.24287
     0.49259   -0.26553
     0.47592   -0.31527
     0.45927   -0.33621
     0.44266   -0.34573
     0.42611   -0.35735
     0.40966   -0.37037
     0.39330   -0.38465
     0.37706   -0.40002
     0.36094   -0.41609
     0.34493   -0.43224
     0.32903   -0.44772
     0.31321   -0.46181
     0.29746   -0.47393
     0.28176   -0.48370
     0.26607   -0.49108
     0.25037   -0.49632
     0.23465   -0.50006
     0.21890   -0.50331
     0.20312   -0.50737
     0.18735   -0.51375
     0.17164   -0.52393
     0.15611   -0.53907
     0.14087   -0.55975
     0.12608   -0.58578
     0.11191   -0.61610
     0.09854   -0.64879
     0.08613   -0.68113
     0.07478   -0.71002
     0.06457   -0.73273
     0.05551   -0.74753
     0.04757   -0.75392
     0.04065   -0.75237
     0.03464   -0.74388
     0.02942   -0.72949
     0.02488   -0.71000
     0.02091   -0.68574
     0.01742   -0.65650
     0.01436   -0.62142
     0.01165   -0.57878
     0.00927   -0.52580
     0.00718   -0.45829
     0.00535   -0.37034
     0.00379   -0.25448
     0.00250   -0.10315
     0.00147    0.08668
     0.00071    0.30633
     0.00024    0.52972
     0.00002    0.72384
     0.00003    0.86514
     0.00026    0.95771
     0.00073    0.99798
     0.00145    0.98823
     0.00242    0.93801
     0.00365    0.86115
     0.00514    0.76961
     0.00690    0.67371
     0.00893    0.57883
     0.01126    0.48904
     0.01391    0.40554
     0.01693    0.32902
     0.02036    0.25928
     0.02428    0.19590
     0.02878    0.13835
     0.03397    0.08610
     0.03997    0.03871
     0.04692   -0.00413
     0.05496   -0.04258
     0.06418   -0.07671
     0.07462   -0.10659
     0.08620   -0.13244
     0.09877   -0.15468
     0.11216   -0.17393
     0.12615   -0.19084
     0.14059   -0.20594
     0.15534   -0.21952
     0.17032   -0.23166
     0.18544   -0.24223
     0.20067   -0.25098
     0.21598   -0.25762
     0.23136   -0.26192
     0.24682   -0.26373
     0.26234   -0.26303
     0.27796   -0.25994
     0.29366   -0.25471
     0.30948   -0.24770
     0.32540   -0.23932
     0.34144   -0.23004
     0.35760   -0.22029
     0.37386   -0.21045
     0.39022   -0.20083
     0.40666   -0.19165
     0.42316   -0.18305
     0.43972   -0.17507
     0.45630   -0.16768
     0.47291   -0.16082
     0.48952   -0.15436
     0.50614   -0.14815
     0.52276   -0.14207
     0.53939   -0.13601
     0.55602   -0.12991
     0.57267   -0.12374
     0.58933   -0.11753
     0.60600   -0.11134
     0.62270   -0.10523
     0.63940   -0.09928
     0.65611   -0.09350
     0.67281   -0.08791
     0.68949   -0.08247
     0.70615   -0.07708
     0.72277   -0.07164
     0.73936   -0.06602
     0.75593   -0.06016
     0.77248   -0.05405
     0.78902   -0.04781
     0.80559   -0.04164
     0.82220   -0.03582
     0.83885   -0.03067
     0.85555   -0.02696
     0.87228    0.01237
     0.88900    0.04613
     0.90563    0.06569
     0.92209    0.07956
     0.93822    0.09407
     0.95371    0.11053
     0.96807    0.12901
     0.98085    0.15771
     0.99185    0.20278
     1.00000    0.29782
