#      x          Cp  
     1.00000    0.30398
     0.99169    0.25486
     0.98039    0.21284
     0.96731    0.17239
     0.95278    0.13588
     0.93728    0.10372
     0.92122    0.07564
     0.90485    0.05098
     0.88834    0.02905
     0.87174    0.00928
     0.85510   -0.00881
     0.83844   -0.02556
     0.82176   -0.04123
     0.80507   -0.05601
     0.78837   -0.07008
     0.77167   -0.08356
     0.75496   -0.09654
     0.73825   -0.10911
     0.72153   -0.12133
     0.70482   -0.13326
     0.68811   -0.14492
     0.67140   -0.15635
     0.65469   -0.16754
     0.63799   -0.17848
     0.62130   -0.18916
     0.60461   -0.19950
     0.58793   -0.20941
     0.57127   -0.21880
     0.55461   -0.22770
     0.53797   -0.23683
     0.52135   -0.24973
     0.50474   -0.27604
     0.48816   -0.31788
     0.47159   -0.33226
     0.45505   -0.33956
     0.43853   -0.34895
     0.42204   -0.35951
     0.40559   -0.37090
     0.38917   -0.38294
     0.37278   -0.39555
     0.35644   -0.40864
     0.34015   -0.42215
     0.32390   -0.43605
     0.30771   -0.45029
     0.29159   -0.46486
     0.27553   -0.47972
     0.25955   -0.49486
     0.24367   -0.51027
     0.22788   -0.52593
     0.21221   -0.54184
     0.19668   -0.55799
     0.18131   -0.57436
     0.16614   -0.59094
     0.15122   -0.60769
     0.13660   -0.62457
     0.12239   -0.64148
     0.10870   -0.65824
     0.09569   -0.67460
     0.08352   -0.69017
     0.07237   -0.70447
     0.06235   -0.71693
     0.05351   -0.72698
     0.04579   -0.73404
     0.03909   -0.73757
     0.03329   -0.73693
     0.02826   -0.73138
     0.02387   -0.71994
     0.02004   -0.70135
     0.01667   -0.67396
     0.01370   -0.63559
     0.01109   -0.58358
     0.00880   -0.51458
     0.00679   -0.42487
     0.00506   -0.31058
     0.00358   -0.16896
     0.00237    0.00020
     0.00141    0.19166
     0.00070    0.39376
     0.00024    0.58772
     0.00003    0.75475
     0.00003    0.88024
     0.00024    0.96381
     0.00070    0.99885
     0.00141    0.98659
     0.00237    0.93573
     0.00358    0.85932
     0.00506    0.76871
     0.00679    0.67377
     0.00880    0.57963
     0.01109    0.49020
     0.01370    0.40667
     0.01667    0.32971
     0.02004    0.25915
     0.02387    0.19464
     0.02826    0.13570
     0.03329    0.08188
     0.03909    0.03280
     0.04579   -0.01179
     0.05351   -0.05201
     0.06235   -0.08782
     0.07237   -0.11915
     0.08352   -0.14598
     0.09569   -0.16840
     0.10870   -0.18669
     0.12239   -0.20129
     0.13660   -0.21267
     0.15122   -0.22131
     0.16614   -0.22763
     0.18131   -0.23199
     0.19668   -0.23471
     0.21221   -0.23604
     0.22788   -0.23619
     0.24367   -0.23534
     0.25955   -0.23364
     0.27553   -0.23121
     0.29159   -0.22815
     0.30771   -0.22456
     0.32390   -0.22052
     0.34015   -0.21608
     0.35644   -0.21131
     0.37278   -0.20625
     0.38917   -0.20095
     0.40559   -0.19545
     0.42204   -0.18978
     0.43853   -0.18396
     0.45505   -0.17802
     0.47159   -0.17197
     0.48816   -0.16585
     0.50474   -0.15965
     0.52135   -0.15339
     0.53797   -0.14707
     0.55461   -0.14071
     0.57127   -0.13431
     0.58793   -0.12787
     0.60461   -0.12140
     0.62130   -0.11488
     0.63799   -0.10834
     0.65469   -0.10176
     0.67140   -0.09516
     0.68811   -0.08853
     0.70482   -0.08191
     0.72153   -0.07529
     0.73825   -0.06873
     0.75496   -0.06225
     0.77167   -0.05591
     0.78837   -0.04976
     0.80507   -0.04388
     0.82176   -0.03833
     0.83844   -0.03326
     0.85510   -0.02908
     0.87174   -0.01054
     0.88834    0.02845
     0.90485    0.05647
     0.92122    0.07549
     0.93728    0.09310
     0.95278    0.11353
     0.96731    0.13894
     0.98039    0.17257
     0.99169    0.21514
     1.00000    0.30398
