#      x          Cp  
     1.00000    0.29895
     0.99163    0.25444
     0.98038    0.21623
     0.96740    0.17557
     0.95301    0.13749
     0.93765    0.10583
     0.92167    0.07962
     0.90533    0.05692
     0.88877    0.03687
     0.87209    0.01900
     0.85534    0.00284
     0.83852   -0.01205
     0.82166   -0.02615
     0.80477   -0.03984
     0.78785   -0.05346
     0.77093   -0.06723
     0.75402   -0.08129
     0.73713   -0.09568
     0.72028   -0.11031
     0.70348   -0.12504
     0.68672   -0.13966
     0.67000   -0.15393
     0.65333   -0.16760
     0.63668   -0.18045
     0.62006   -0.19233
     0.60343   -0.20312
     0.58681   -0.21278
     0.57016   -0.22134
     0.55349   -0.22884
     0.53679   -0.23547
     0.52006   -0.24196
     0.50332   -0.25180
     0.48657   -0.27783
     0.46984   -0.33327
     0.45314   -0.35239
     0.43650   -0.36288
     0.41994   -0.37530
     0.40348   -0.38914
     0.38712   -0.40427
     0.37089   -0.42042
     0.35478   -0.43704
     0.33877   -0.45334
     0.32287   -0.46851
     0.30704   -0.48180
     0.29127   -0.49270
     0.27552   -0.50093
     0.25978   -0.50661
     0.24401   -0.51018
     0.22820   -0.51251
     0.21236   -0.51486
     0.19649   -0.51877
     0.18065   -0.52593
     0.16492   -0.53791
     0.14941   -0.55577
     0.13430   -0.57981
     0.11975   -0.60944
     0.10595   -0.64317
     0.09307   -0.67859
     0.08123   -0.71259
     0.07053   -0.74188
     0.06098   -0.76379
     0.05254   -0.77671
     0.04515   -0.78017
     0.03870   -0.77458
     0.03307   -0.76073
     0.02815   -0.73946
     0.02384   -0.71140
     0.02006   -0.67682
     0.01673   -0.63552
     0.01378   -0.58672
     0.01118   -0.52902
     0.00889   -0.46015
     0.00688   -0.37698
     0.00513   -0.27528
     0.00363   -0.15028
     0.00239    0.00228
     0.00140    0.18267
     0.00068    0.38300
     0.00022    0.58288
     0.00002    0.75651
     0.00004    0.88388
     0.00027    0.96556
     0.00074    0.99893
     0.00144    0.98715
     0.00238    0.93815
     0.00357    0.86310
     0.00502    0.77207
     0.00672    0.67458
     0.00869    0.57629
     0.01095    0.48185
     0.01353    0.39322
     0.01645    0.31165
     0.01976    0.23738
     0.02354    0.17027
     0.02783    0.10993
     0.03276    0.05589
     0.03841    0.00768
     0.04492   -0.03508
     0.05242   -0.07266
     0.06102   -0.10526
     0.07079   -0.13301
     0.08172   -0.15616
     0.09372   -0.17509
     0.10665   -0.19040
     0.12032   -0.20279
     0.13457   -0.21290
     0.14924   -0.22123
     0.16423   -0.22806
     0.17944   -0.23346
     0.19483   -0.23738
     0.21035   -0.23970
     0.22599   -0.24031
     0.24173   -0.23917
     0.25758   -0.23633
     0.27352   -0.23196
     0.28958   -0.22632
     0.30574   -0.21976
     0.32201   -0.21267
     0.33838   -0.20540
     0.35485   -0.19832
     0.37139   -0.19168
     0.38800   -0.18568
     0.40464   -0.18041
     0.42130   -0.17585
     0.43797   -0.17189
     0.45463   -0.16835
     0.47126   -0.16497
     0.48788   -0.16151
     0.50447   -0.15770
     0.52105   -0.15336
     0.53763   -0.14836
     0.55422   -0.14270
     0.57084   -0.13643
     0.58748   -0.12971
     0.60416   -0.12270
     0.62087   -0.11562
     0.63762   -0.10861
     0.65440   -0.10181
     0.67118   -0.09527
     0.68797   -0.08897
     0.70473   -0.08285
     0.72146   -0.07677
     0.73815   -0.07062
     0.75482   -0.06428
     0.77146   -0.05774
     0.78809   -0.05111
     0.80475   -0.04460
     0.82145   -0.03844
     0.83820   -0.03277
     0.85502   -0.02775
     0.87188   -0.01228
     0.88872    0.03590
     0.90546    0.06618
     0.92197    0.08067
     0.93803    0.08989
     0.95332    0.10209
     0.96756    0.12468
     0.98044    0.16020
     0.99166    0.20532
     1.00000    0.29895
