#      x          Cp  
     1.00000    0.28988
     0.99188    0.23944
     0.98151    0.20840
     0.97011    0.20895
     0.95805    0.21006
     0.94545    0.18834
     0.93188    0.14572
     0.91733    0.09667
     0.90222    0.05648
     0.88669    0.02737
     0.87078    0.00490
     0.85459   -0.01463
     0.83821   -0.03267
     0.82174   -0.04939
     0.80521   -0.06460
     0.78863   -0.07816
     0.77201   -0.09017
     0.75533   -0.10093
     0.73858   -0.11082
     0.72178   -0.12026
     0.70492   -0.12963
     0.68802   -0.13919
     0.67109   -0.14911
     0.65415   -0.15944
     0.63721   -0.17011
     0.62027   -0.18101
     0.60335   -0.19198
     0.58644   -0.20284
     0.56954   -0.21336
     0.55266   -0.22335
     0.53580   -0.23312
     0.51897   -0.24584
     0.50218   -0.27702
     0.48543   -0.35031
     0.46875   -0.37003
     0.45215   -0.38185
     0.43565   -0.39498
     0.41926   -0.40954
     0.40300   -0.42571
     0.38687   -0.44330
     0.37087   -0.46159
     0.35500   -0.47955
     0.33925   -0.49604
     0.32359   -0.51005
     0.30801   -0.52076
     0.29247   -0.52760
     0.27695   -0.53027
     0.26141   -0.52881
     0.24581   -0.52361
     0.23013   -0.51549
     0.21434   -0.50568
     0.19845   -0.49581
     0.18245   -0.48788
     0.16642   -0.48408
     0.15045   -0.48650
     0.13469   -0.49670
     0.11937   -0.51531
     0.10475   -0.54177
     0.09110   -0.57442
     0.07864   -0.61085
     0.06753   -0.64819
     0.05779   -0.68374
     0.04935   -0.71537
     0.04208   -0.74162
     0.03582   -0.76156
     0.03041   -0.77445
     0.02572   -0.77950
     0.02162   -0.77567
     0.01803   -0.76149
     0.01488   -0.73494
     0.01210   -0.69330
     0.00966   -0.63316
     0.00752   -0.55040
     0.00566   -0.44070
     0.00407   -0.30039
     0.00275   -0.12824
     0.00169    0.07156
     0.00090    0.28797
     0.00036    0.50138
     0.00007    0.69098
     0.00000    0.83786
     0.00016    0.94031
     0.00055    0.99304
     0.00119    0.99466
     0.00209    0.95226
     0.00325    0.87880
     0.00467    0.78706
     0.00636    0.68843
     0.00832    0.58967
     0.01058    0.49573
     0.01315    0.40849
     0.01608    0.32903
     0.01942    0.25735
     0.02323    0.19313
     0.02759    0.13583
     0.03261    0.08488
     0.03841    0.03969
     0.04515   -0.00024
     0.05298   -0.03537
     0.06202   -0.06616
     0.07233   -0.09311
     0.08388   -0.11682
     0.09654   -0.13803
     0.11009   -0.15747
     0.12429   -0.17573
     0.13896   -0.19311
     0.15392   -0.20959
     0.16907   -0.22489
     0.18434   -0.23852
     0.19968   -0.24994
     0.21507   -0.25864
     0.23051   -0.26421
     0.24602   -0.26643
     0.26160   -0.26528
     0.27728   -0.26096
     0.29307   -0.25386
     0.30901   -0.24452
     0.32509   -0.23359
     0.34132   -0.22175
     0.35771   -0.20964
     0.37425   -0.19782
     0.39093   -0.18673
     0.40770   -0.17668
     0.42456   -0.16787
     0.44146   -0.16038
     0.45838   -0.15420
     0.47529   -0.14918
     0.49217   -0.14505
     0.50902   -0.14147
     0.52582   -0.13807
     0.54259   -0.13450
     0.55932   -0.13047
     0.57605   -0.12583
     0.59278   -0.12052
     0.60953   -0.11462
     0.62630   -0.10831
     0.64312   -0.10179
     0.65998   -0.09530
     0.67686   -0.08903
     0.69376   -0.08308
     0.71065   -0.07751
     0.72752   -0.07227
     0.74433   -0.06721
     0.76109   -0.06212
     0.77777   -0.05679
     0.79441   -0.05107
     0.81100   -0.04498
     0.82758   -0.03876
     0.84417   -0.03278
     0.86074   -0.02746
     0.87727   -0.02325
     0.89368    0.02042
     0.90988    0.06017
     0.92578    0.09398
     0.94108    0.12795
     0.95546    0.15182
     0.96890    0.15081
     0.98112    0.14805
     0.99184    0.18797
     1.00000    0.28988
